Bellingham Bay Buoy,163932
Squalicum Harbor,175354
Locust Beach,26840
Sandy Point,3077
Lummi Island,159006
Cap Santa Maria,164756
Bay View,7031
Cherry Point,4376
Semiahmoo Park,164768
Vancouver Boundary Bay,172159
Tswwassen Ferry Terminal,171158
Sand Heads,998
Orcas Island Airport,15936
Pearl Island,159053
Kelp Reefs,16662
Friday Harbor UW,4377
Port Stanley,91931
Johns Point,3814
Anaco Beach,113911
Burrows Bay,84801
Whidbey Island NAS,599
Smith Island,600
Hein Bank,2323
Race Rocks,628
Metchosin,84819
Esquimalt Harbor,1429
Victoria Gonzales Bay,16671
Discovery Island,151174
Saanichton Puckle,159668
Victoria Airport,993
Pender Island,159066
Saturna Island,995
Libbey Beach,113906
Point Wilson Light,1521
Port Townsend Ferry,4374
Glenn Cove,54578
Diamond Point,161444
